Transaction_ID,Date,Year,Month,Quarter,Category,Subcategory,Region,Country,Customer_Segment,Quantity,Unit_Price,Discount_Amount,Final_Unit_Price,Total_Amount,Shipping_Cost,Payment_Method,Order_Status,Customer_Satisfaction,Marketing_Channel
TXN_10001,2022-08-17,2022,8,Q3,Fashion,Men Clothing,Asia Pacific,Japan,Corporate,1,127.14,33.12,94.02,94.02,18.53,COD,Delivered,3.0,Organic Search
TXN_10002,2022-06-28,2022,6,Q2,Electronics,Audio,Latin America,Brazil,VIP Customer,1,129.73,17.23,112.5,112.5,15.11,Credit Card,Delivered,2.0,Direct
TXN_10003,2023-02-12,2023,2,Q1,Home & Living,Bedding,Europe,Netherlands,New Customer,1,896.22,72.54,823.68,823.68,0.0,Credit Card,Delivered,4.0,Paid Ads
TXN_10004,2022-11-23,2022,11,Q4,Fashion,Accessories,Asia Pacific,Australia,New Customer,1,141.95,13.59,128.36,128.36,11.73,Credit Card,Delivered,4.0,Paid Ads
TXN_10005,2024-02-18,2024,2,Q1,Fashion,Men Clothing,Asia Pacific,Australia,VIP Customer,1,309.79,68.49,241.3,241.3,19.59,COD,Delivered,5.0,Organic Search
TXN_10006,2022-09-13,2022,9,Q3,Home & Living,Bedding,North America,Mexico,New Customer,1,460.97,28.98,431.99,431.99,22.71,Bank Transfer,Processing,,Direct
TXN_10007,2023-01-29,2023,1,Q1,Home & Living,Furniture,North America,Mexico,New Customer,1,365.01,10.56,354.45,354.45,6.6,PayPal,Delivered,4.0,Organic Search
TXN_10008,2022-07-26,2022,7,Q3,Fashion,Accessories,Asia Pacific,Singapore,New Customer,2,390.15,14.23,375.92,751.84,0.0,Bank Transfer,Delivered,5.0,Paid Ads
TXN_10009,2023-12-29,2023,12,Q4,Fashion,Women Clothing,Asia Pacific,India,Returning Customer,1,468.57,8.02,460.55,460.55,19.58,PayPal,Processing,,Email Campaign
TXN_10010,2024-08-04,2024,8,Q3,Sports,Outdoor Gear,Asia Pacific,Japan,VIP Customer,1,555.58,125.8,429.78,429.78,20.52,PayPal,Shipped,,Organic Search
